"Series";"Time";"Value"
"d8de94f65ad4";"2019-11-27T22:06:49+00:00";0.014068841934204102
"d8de94f65ad4";"2019-11-27T22:06:59+00:00";0.014068841934204102
"d8de94f65ad4";"2019-11-27T22:07:09+00:00";0.014068841934204102
"d8de94f65ad4";"2019-11-27T22:07:19+00:00";0.01609540939331055
"d8de94f65ad4";"2019-11-27T22:07:29+00:00";0.018184661865234375
"d8de94f65ad4";"2019-11-27T22:07:40+00:00";0.018184661865234375
"d8de94f65ad4";"2019-11-27T22:07:50+00:00";0.018161506652832036
"d8de94f65ad4";"2019-11-27T22:08:00+00:00";0.017844295501708993
"d8de94f65ad4";"2019-11-27T22:08:10+00:00";0.01678350448608403
"d8de94f65ad4";"2019-11-27T22:08:20+00:00";0.016280646324157714
"d8de94f65ad4";"2019-11-27T22:08:30+00:00";0.016171030998229995
"d8de94f65ad4";"2019-11-27T22:08:40+00:00";0.015431029796600357
"d8de94f65ad4";"2019-11-27T22:08:50+00:00";0.015431029796600357
"d8de94f65ad4";"2019-11-27T22:09:00+00:00";0.015431029796600357
"d8de94f65ad4";"2019-11-27T22:09:10+00:00";0.01557300090789795
"d8de94f65ad4";"2019-11-27T22:09:20+00:00";0.016884624958038347
"d8de94f65ad4";"2019-11-27T22:09:30+00:00";0.016884624958038347
"d8de94f65ad4";"2019-11-27T22:09:40+00:00";0.01705339431762698
"d8de94f65ad4";"2019-11-27T22:09:50+00:00";0.01644183158874513
"d8de94f65ad4";"2019-11-27T22:10:00+00:00";0.01649880409240723
"d8de94f65ad4";"2019-11-27T22:10:10+00:00";0.016337895393371587
"d8de94f65ad4";"2019-11-27T22:10:20+00:00";0.01625020980834961
"d8de94f65ad4";"2019-11-27T22:10:30+00:00";0.016406283378601075
"d8de94f65ad4";"2019-11-27T22:10:40+00:00";0.017160134315490735
"d8de94f65ad4";"2019-11-27T22:10:50+00:00";0.016125128269195568
"d8de94f65ad4";"2019-11-27T22:11:00+00:00";0.015878345966339115
"d8de94f65ad4";"2019-11-27T22:11:10+00:00";0.015742244720458994
"d8de94f65ad4";"2019-11-27T22:11:20+00:00";0.015493886470794683
"d8de94f65ad4";"2019-11-27T22:11:30+00:00";0.016251902580261234
"d8de94f65ad4";"2019-11-27T22:11:40+00:00";0.016110677719116225
"d8de94f65ad4";"2019-11-27T22:11:51+00:00";0.01583453178405762
"d8de94f65ad4";"2019-11-27T22:12:01+00:00";0.016251902580261234
"d8de94f65ad4";"2019-11-27T22:12:11+00:00";0.016251902580261234
"d8de94f65ad4";"2019-11-27T22:12:21+00:00";0.01616841077804566
"d8de94f65ad4";"2019-11-27T22:12:31+00:00";0.01609657287597658
"d8de94f65ad4";"2019-11-27T22:12:41+00:00";0.016144487857818614
"d8de94f65ad4";"2019-11-27T22:12:51+00:00";0.015917308330535895
"d8de94f65ad4";"2019-11-27T22:13:01+00:00";0.01566759347915651
"d8de94f65ad4";"2019-11-27T22:13:11+00:00";0.01617868185043336
"d8de94f65ad4";"2019-11-27T22:13:21+00:00";0.015797441005706788
"d8de94f65ad4";"2019-11-27T22:13:31+00:00";0.015662345886230486
"d8de94f65ad4";"2019-11-27T22:13:41+00:00";0.015662345886230486
"d8de94f65ad4";"2019-11-27T22:13:51+00:00";0.015296738147735599
"d8de94f65ad4";"2019-11-27T22:14:01+00:00";0.015514736175537117
"d8de94f65ad4";"2019-11-27T22:14:11+00:00";0.015725748538970956
"d8de94f65ad4";"2019-11-27T22:14:21+00:00";0.016519281864166274
"d8de94f65ad4";"2019-11-27T22:14:31+00:00";0.01672986268997195
"d8de94f65ad4";"2019-11-27T22:14:41+00:00";0.01752760648727418
"d8de94f65ad4";"2019-11-27T22:14:51+00:00";0.017279481887817392
"d8de94f65ad4";"2019-11-27T22:15:01+00:00";0.017231359481811537
"d8de94f65ad4";"2019-11-27T22:15:11+00:00";0.017467343807220464
"d8de94f65ad4";"2019-11-27T22:15:22+00:00";0.016654210090637216
"d8de94f65ad4";"2019-11-27T22:15:32+00:00";0.015775461196899418
"d8de94f65ad4";"2019-11-27T22:15:42+00:00";0.016654210090637216
"d8de94f65ad4";"2019-11-27T22:15:52+00:00";0.01667046070098878
"d8de94f65ad4";"2019-11-27T22:16:02+00:00";0.01663183450698853
"d8de94f65ad4";"2019-11-27T22:16:12+00:00";0.01739404201507569
"d8de94f65ad4";"2019-11-27T22:16:22+00:00";0.016721279621124272
"d8de94f65ad4";"2019-11-27T22:16:32+00:00";0.017096228599548364
"d8de94f65ad4";"2019-11-27T22:16:42+00:00";0.016364915370941178
